cmu_label,action,platform_categories,note
Fiction,drop,,umbrella on 4747 records — spans every fiction genre, so it discriminates nothing
Speculative fiction,drop,,umbrella on 4314 records — spans SF + fantasy + horror
Novel,drop,,a form not a genre
Novella,drop,,a form not a genre
Short story,drop,,a form not a genre
Prose,drop,,a form not a genre
Serial,drop,,a publication format
Anthology,drop,,a publication format
Light novel,drop,,a publication format
Graphic novel,drop,,a medium not a genre
Comic book,drop,,a medium not a genre
Comics,drop,,a medium not a genre
Autobiographical comics,drop,,a medium not a genre
Play,drop,,dramatic form; the platform has no drama category
Morality play,drop,,dramatic form; the platform has no drama category
Parallel novel,drop,,describes a relationship to another work not a genre
Mashup,drop,,describes a technique not a genre
Pastiche,drop,,describes a technique not a genre
Fictional crossover,drop,,describes a technique not a genre
Ergodic literature,drop,,describes a technique not a genre
Experimental literature,drop,,describes a technique not a genre
First-person narrative,drop,,a narrative device not a genre
Collage,drop,,a technique not a genre
Albino bias,drop,,not a genre — a content descriptor
New York Times Best Seller list,drop,,not a genre — a sales list
Popular culture,drop,,too diffuse to filter on
Cabal,drop,,not a genre
Youth,drop,,ambiguous; Young adult literature and Children's literature carry this signal
Modernism,drop,,a literary movement not a genre
Postmodernism,drop,,a literary movement not a genre
Role-playing game,drop,,a game product not a book genre
Gamebook,drop,,a game product not a book genre
Science Fiction,map,science-fiction,
Alternate history,map,science-fiction|historical-fiction,
Dystopia,map,science-fiction,
Utopian and dystopian fiction,map,science-fiction,
Utopian fiction,map,science-fiction,
Apocalyptic and post-apocalyptic fiction,map,science-fiction,
Post-holocaust,map,science-fiction,
Catastrophic literature,map,science-fiction,
Human extinction,map,science-fiction,
Anti-nuclear,map,science-fiction,
Military science fiction,map,science-fiction,
Hard science fiction,map,science-fiction,
Soft science fiction,map,science-fiction,
Social science fiction,map,science-fiction,
Feminist science fiction,map,science-fiction,
Comic science fiction,map,science-fiction,
Scientific romance,map,science-fiction,Victorian-era SF; "romance" here is the old sense not the love genre
Steampunk,map,science-fiction,
Cyberpunk,map,science-fiction,
Postcyberpunk,map,science-fiction,
Biopunk,map,science-fiction,
Transhumanism,map,science-fiction,
Time travel,map,science-fiction,
Space opera,map,science-fiction,
Planetary romance,map,science-fiction,"romance" in the archaic sense
Sword and planet,map,science-fiction|fantasy,
Space western,map,science-fiction,
Invasion literature,map,science-fiction,
Alien invasion,map,science-fiction,
Edisonade,map,science-fiction,
Subterranean fiction,map,science-fiction,
Lost World,map,science-fiction|fantasy,
Dying Earth subgenre,map,science-fiction|fantasy,
Future history,map,science-fiction,
Techno-thriller,map,science-fiction|mystery-thriller,
Fantasy,map,fantasy,
High fantasy,map,fantasy,
Low fantasy,map,fantasy,
Urban fantasy,map,fantasy,
Contemporary fantasy,map,fantasy,
Dark fantasy,map,fantasy|horror,
Heroic fantasy,map,fantasy,
Comic fantasy,map,fantasy,
Fantasy of manners,map,fantasy,
Bangsian fantasy,map,fantasy,
Juvenile fantasy,map,fantasy|young-adult,
Fairytale fantasy,map,fantasy,
Science fantasy,map,fantasy|science-fiction,
Sword and sorcery,map,fantasy,
Magic realism,map,fantasy,
Wuxia,map,fantasy,
Fairy tale,map,fantasy,
Fable,map,fantasy,
Supernatural,map,fantasy|horror,
Superhero fiction,map,fantasy,
New Weird,map,fantasy|science-fiction,
Fantastique,map,fantasy|horror,
Bit Lit,map,fantasy,French urban-fantasy/vampire label
Horror,map,horror,
Gothic fiction,map,horror,
American Gothic Fiction,map,horror,
Ghost story,map,horror,
Vampire fiction,map,horror|fantasy,
Zombie,map,horror,
Zombies in popular culture,map,horror,
Mystery,map,mystery-thriller,
Suspense,map,mystery-thriller,
Thriller,map,mystery-thriller,
Crime Fiction,map,mystery-thriller,
Detective fiction,map,mystery-thriller,
Whodunit,map,mystery-thriller,
Historical whodunnit,map,mystery-thriller|historical-fiction,
Locked room mystery,map,mystery-thriller,
Cozy,map,mystery-thriller,
Hardboiled,map,mystery-thriller,
Police procedural,map,mystery-thriller,
Spy fiction,map,mystery-thriller,
Conspiracy fiction,map,mystery-thriller,
Conspiracy,map,mystery-thriller,
Romance novel,map,romance,
Paranormal romance,map,romance|fantasy,
Historical romance,map,romance|historical-fiction,
Regency romance,map,romance|historical-fiction,
Georgian romance,map,romance|historical-fiction,
Colonial United States romance,map,romance|historical-fiction,
Romantic comedy,map,romance,
Chick lit,map,romance,
Indian chick lit,map,romance,
Erotica,map,romance,
Pornography,map,romance,
Historical novel,map,historical-fiction,
Historical fiction,map,historical-fiction,
Historical fantasy,map,historical-fiction|fantasy,
Chivalric romance,map,historical-fiction|fantasy,medieval literary romance not the love genre
Medieval romance,map,historical-fiction|fantasy,medieval literary romance not the love genre
Elizabethan romance,map,historical-fiction,early-modern literary romance not the love genre
Biographical novel,map,historical-fiction,
Industrial novel,map,historical-fiction,
War novel,map,historical-fiction,
Anti-war,map,historical-fiction,
Western,map,historical-fiction,
Western fiction,map,historical-fiction,
Sea story,map,historical-fiction,
Naval adventure,map,historical-fiction,
Foreign legion,map,historical-fiction,
Young adult literature,map,young-adult,
Children's literature,map,young-adult,"2122 records; the platform has no children's category, so this is the nearest bucket — imprecise and worth revisiting"
Picture book,map,young-adult,see the Children's literature note
School story,map,young-adult,
English public-school stories,map,young-adult,
Boys' school stories,map,young-adult,
Coming of age,map,young-adult|fiction,
Poetry,map,poetry,
Prose poetry,map,poetry,
Non-fiction,map,non-fiction,
Non-fiction novel,map,non-fiction,
Creative nonfiction,map,non-fiction,
Autobiography,map,non-fiction,
Biography,map,non-fiction,
Memoir,map,non-fiction,
Personal journal,map,non-fiction,
History,map,non-fiction,
Military history,map,non-fiction|historical-fiction,
True crime,map,non-fiction|mystery-thriller,
Philosophy,map,non-fiction,
Political philosophy,map,non-fiction,
Metaphysics,map,non-fiction,
Existentialism,map,non-fiction,
Sociology,map,non-fiction,
Social sciences,map,non-fiction,
Anthropology,map,non-fiction,
Psychology,map,non-fiction,
Neuroscience,map,non-fiction,
Science,map,non-fiction,
Popular science,map,non-fiction,
Mathematics,map,non-fiction,
Computer Science,map,non-fiction,
Nature,map,non-fiction,
Economics,map,non-fiction,
Business,map,non-fiction,
Marketing,map,non-fiction,
Politics,map,non-fiction,
Social commentary,map,non-fiction,
Social criticism,map,non-fiction,
Polemic,map,non-fiction,
Religion,map,non-fiction,
Religious text,map,non-fiction,
Spirituality,map,non-fiction,
Inspirational,map,non-fiction,
Self-help,map,non-fiction,
Education,map,non-fiction,
Travel,map,non-fiction,
Travel literature,map,non-fiction,
Music,map,non-fiction,
Photography,map,non-fiction,
Sports,map,non-fiction,
Cookbook,map,non-fiction,
Field guide,map,non-fiction,
Reference,map,non-fiction,
Encyclopedia,map,non-fiction,
Treatise,map,non-fiction,
Essay,map,non-fiction,
Literary criticism,map,non-fiction,
Literary theory,map,non-fiction,
Literary fiction,map,fiction,
Literary realism,map,fiction,
Social novel,map,fiction,
Psychological novel,map,fiction,
Bildungsroman,map,fiction,
Künstlerroman,map,fiction,
Epistolary novel,map,fiction,
Autobiographical novel,map,fiction,
Picaresque novel,map,fiction,
Roman à clef,map,fiction,
Campus novel,map,fiction,
Urban fiction,map,fiction,
Adventure,map,fiction,
Adventure novel,map,fiction,
Robinsonade,map,fiction,
Drama,map,fiction,
Satire,map,fiction,
Comedy,map,fiction,
Comic novel,map,fiction,
Humour,map,fiction,
Black comedy,map,fiction,
Comedy of manners,map,fiction,
Tragicomedy,map,fiction,
Farce,map,fiction,
Parody,map,fiction,
Absurdist fiction,map,fiction,
Gay novel,map,fiction,
Gay Themed,map,fiction,
LGBT literature,map,fiction,
Transgender and transsexual fiction,map,fiction,
Epic Science Fiction and Fantasy,map,science-fiction|fantasy,
